Sample in Buffer,Sample in Window,TRIGGER,ila_data[617:0],receiver_0[31:0],userdata_rx_0[31:0],receiver_1[31:0],userdata_rx_1[31:0],userdata_rx_2[31:0],receiver_2[31:0],userdata_rx_3[31:0],receiver_3[31:0],userdata_tx_0[31:0],transmitter_0[31:0],userdata_tx_1[31:0],transmitter_1[31:0],userdata_tx_2[31:0],transmitter_2[31:0],transmitter_3[31:0],userdata_tx_3[31:0],prbs_match_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
500,500,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000841e8a2ac503ca2ac503c7ea1503c815e8aaa28619990503c7ea3503c815c503c,815c503c,815c503c,7ea3503c,7ea3503c,9990503c,9990503c,8aaa2861,8aaa2861,503c815e,503c815e,503c7ea1,503c7ea1,503ca2ac,503ca2ac,41e8a2ac,41e8a2ac,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
501,501,0,3a0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000085b435baf503c5baf503c7ea0503c815f081b2e9c0182503c7ea2503c815d503c,815d503c,815d503c,7ea2503c,7ea2503c,0182503c,0182503c,081b2e9c,081b2e9c,503c815f,503c815f,503c7ea0,503c7ea0,503c5baf,503c5baf,5b435baf,5b435baf,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
502,502,0,3b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008bb953a86503c3a86503c7e9f503c8160022eacbc262f503c7ea1503c815e503c,815e503c,815e503c,7ea1503c,7ea1503c,262f503c,262f503c,022eacbc,022eacbc,503c8160,503c8160,503c7e9f,503c7e9f,503c3a86,503c3a86,bb953a86,bb953a86,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
503,503,0,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008535d12d5503c12d5503c7e9e503c81619ab843269896503c7ea0503c815f503c,815f503c,815f503c,7ea0503c,7ea0503c,9896503c,9896503c,9ab84326,9ab84326,503c8161,503c8161,503c7e9e,503c7e9e,503c12d5,503c12d5,535d12d5,535d12d5,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
504,504,0,2b0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000082aacc802503cc802503c7e9d503c8162d566153a14fe503c7e9f503c8160503c,8160503c,8160503c,7e9f503c,7e9f503c,14fe503c,14fe503c,d566153a,d566153a,503c8162,503c8162,503c7e9d,503c7e9d,503cc802,503cc802,2aacc802,2aacc802,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
505,505,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000839c57139503c7139503c7e9c503c8163a4d1d8279ec5503c7e9e503c8161503c,8161503c,8161503c,7e9e503c,7e9e503c,9ec5503c,9ec5503c,a4d1d827,a4d1d827,503c8163,503c8163,503c7e9c,503c7e9c,503c7139,503c7139,39c57139,39c57139,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
506,506,0,3a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008ce4152fb503c52fb503c7e9b503c8164446aae6222f4503c7e9d503c8162503c,8162503c,8162503c,7e9d503c,7e9d503c,22f4503c,22f4503c,446aae62,446aae62,503c8164,503c8164,503c7e9b,503c7e9b,503c52fb,503c52fb,ce4152fb,ce4152fb,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
507,507,0,3b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008885b43eb503c43eb503c7e9a503c8165862a96edfd08503c7e9c503c8163503c,8163503c,8163503c,7e9c503c,7e9c503c,fd08503c,fd08503c,862a96ed,862a96ed,503c8165,503c8165,503c7e9a,503c7e9a,503c43eb,503c43eb,885b43eb,885b43eb,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
508,508,0,2b0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000087e800295503c0295503c7e99503c8166ee572003687d503c7e9b503c8164503c,8164503c,8164503c,7e9b503c,7e9b503c,687d503c,687d503c,ee572003,ee572003,503c8166,503c8166,503c7e99,503c7e99,503c0295,503c0295,7e800295,7e800295,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
509,509,0,2b0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000089504c5d4503cc5d4503c7e98503c81675fabbbe98bc3503c7e9a503c8165503c,8165503c,8165503c,7e9a503c,7e9a503c,8bc3503c,8bc3503c,5fabbbe9,5fabbbe9,503c8167,503c8167,503c7e98,503c7e98,503cc5d4,503cc5d4,9504c5d4,9504c5d4,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
