Sample in Buffer,Sample in Window,TRIGGER,ila_data[777:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtpowergood_int[3:0],rx8b10ben_int[3:0],rxlpmen_int[3:0],rxcommadeten_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],tx8b10ben_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
533,533,0,21cc95713a1288d4409c44b4a300000000000000000000000000000000000000003c3c3c7c00000000000000000002c00000000000000000003ffc03fffc3fc03b9e348922be348922be348922be348922b62e5e2a8955f7fefe17a65c458a35081,58a35081,e17a65c4,955f7fef,62e5e2a8,e348922b,e348922b,e348922b,e348922b,9,1,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0000,0000,0000,000b,0000,0000,00,00,00,00,f0,f1,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d28c,2351,e84a,55c4,8732
534,534,0,21cc95733a1488d4409c44b4a500000000000000000000000000000000000000003c3c3c3c00000000000000000003400000000000000000003ffc03fffc3fc03b937e420a83772a0e837e2a0e837e4cae1352799f8fd7029ea15833fcf263e4a9c,263e4a9c,15833fcf,fd7029ea,352799f8,37e4cae1,37e2a0e8,3772a0e8,37e420a8,9,1,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0000,0000,0000,000d,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d294,2351,e852,55cc,8732
535,535,0,21cc9574fa1648d4409c44b4a6c0000000000000000000000000000000000000003c3f3c3c00000000000000000000000000000001000000003ffc03fffc3fc03b96dbb93386dbb93386dbb93386dbb933845f492fa563b5ad7a0498480895affad,895affad,a0498480,563b5ad7,45f492fa,6dbb9338,6dbb9338,6dbb9338,6dbb9338,9,1,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0004,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,fc,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d29b,2351,e859,55d3,8732
536,536,0,21cc9576fa1848d4409c44b4a8c0000000000000000000000000000000000000003c3cfc3c0000000000000000c002800000000000c00000003ffc03fffc3fc02a9606bcb3c606bcb3c606bcb3c606bcb3cdbe0f4c09930a5140592d8e72fb18ad3,2fb18ad3,0592d8e7,9930a514,dbe0f4c0,606bcb3c,606bcb3c,606bcb3c,606bcb3c,9,0,1,0,1,0,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0003,0000,0000,000a,0003,0000,00,00,00,00,f0,f0,f3,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d2a3,2351,e861,55db,8732
537,537,0,21cc9578fa1a48d4409c44b4aac0000000000000000000000000000000000000003c3d3c3c00000000000000020000000000000003000000003ffc03fffc3fc02a9c45332e6c45332e6c45332e6c45332e6039595d8fdc2fd9825210cdd1e0c6c4e,1e0c6c4e,25210cdd,fdc2fd98,039595d8,c45332e6,c45332e6,c45332e6,c45332e6,9,0,1,0,1,0,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,000c,0000,0000,0000,0008,0000,00,00,00,00,f0,f0,f4,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d2ab,2351,e869,55e3,8732
538,538,0,21cc957afa1c48d4409c44b4acc0000000000000000000000000000000000000003c3c3ebc00000000000000004002000000000000000080003ffc03fffc3fc03b9eca8f96feca8f96feca8f96feca8f96faff00624631668673be82840d2f8fc8f,d2f8fc8f,3be82840,63166867,aff00624,eca8f96f,eca8f96f,eca8f96f,eca8f96f,9,1,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0002,0000,0000,0000,0008,0001,0000,00,00,00,00,f0,fa,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d2b3,2351,e871,55eb,8732
539,539,0,21cc957cfa1e48d4409c44b4aec0000000000000000000000000000000000000003c3c3c3c00000000000000018002800000000000000000003ffc03fffc3fc03b97e8a4b4376324bd376ca4be34c8a19e8742b77ee5c9f95c73ada7e30a2a8f376,a2a8f376,3ada7e30,5c9f95c7,742b77ee,4c8a19e8,76ca4be3,76324bd3,7e8a4b43,9,1,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0000,0000,0000,000a,0006,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d2bb,2351,e879,55f3,8732
540,540,0,21cc957eba2008d4409c44b4b080000000000000000000000000000000000000003c3d3c3c00000000000000010001000000000001000000003ffc03fffc3fc03b961f12e2e61f12e2e61f12e2e61f12e2e2b2327feb98b60ff3379b0f898dc5e7f,98dc5e7f,3379b0f8,b98b60ff,2b2327fe,61f12e2e,61f12e2e,61f12e2e,61f12e2e,9,1,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0004,0000,0000,0004,0004,0000,00,00,00,00,f0,f0,f4,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d2c2,2351,e880,55fa,8732
541,541,0,21cc9580ba2208d4409c44b4b280000000000000000000000000000000000000003c3c3c3c00000000000000018001800000000000000000003ffc03fffc3fc02a99c8674db9c8674db9c8674db9c8674db180882a7400b63303f1c76c4927b3686,927b3686,3f1c76c4,400b6330,180882a7,9c8674db,9c8674db,9c8674db,9c8674db,9,0,1,0,1,0,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0000,0000,0000,0006,0006,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d2ca,2351,e888,5602,8732
542,542,0,21cc9582ba2408d4409c44b4b480000000000000000000000000000000000000003c3d3e3c00000000000000004000000000000000000000003ffc03fffc3fc02a9e817db54e817db54e817db54e817db54eb9cc1fb8f660bdf52ec80c3d488531d,d488531d,52ec80c3,8f660bdf,eb9cc1fb,e817db54,e817db54,e817db54,e817db54,9,0,1,0,1,0,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0000,0000,0000,0000,0001,0000,00,00,00,00,f0,f8,f4,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d2d2,2351,e890,560a,8732
543,543,0,21cc9584ba2608d4409c44b4b680000000000000000000000000000000000000003c3fbc7c00000000000000020001400000000002000040003ffc03fffc3fc03b99a6287c49a6287c49a6287c49a6287c4369c3023a67976702def3f5b27d824ec,27d824ec,2def3f5b,a6797670,369c3023,9a6287c4,9a6287c4,9a6287c4,9a6287c4,9,1,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0001,0008,0000,0000,0005,0008,0000,00,00,00,00,f0,f1,fe,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d2da,2351,e898,5612,8732
