Sample in Buffer,Sample in Window,TRIGGER,receiver_0[31:0],ila_data[325:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,gtwiz_reset_all_int,gtwiz_reset_rx_done_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtpowergood_int[3:0],rx8b10ben_int[3:0],rxlpmen_int[3:0],rxcommadeten_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],tx8b10ben_int[3:0],txpmaresetdone_int[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
637,637,0,866ebc3c,0083ffc03fffffffb08671bc3c8671bc3c8671bc3c8671bc3c866ebc3c866ebc3c0181b867866ebc3c,0181b867,866ebc3c,866ebc3c,8671bc3c,8671bc3c,8671bc3c,8671bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
638,638,0,866fbc3c,0083ffc03fffffffb08672bc3c8672bc3c8672bc3c8672bc3c866fbc3c866fbc3c4181b862866fbc3c,4181b862,866fbc3c,866fbc3c,8672bc3c,8672bc3c,8672bc3c,8672bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
639,639,0,8670bc3c,0083ffc03ffffffeb08673bc3c8673bc3c8673bc3c8673bc3c8670bc3c8670bc3c4181b8648670bc3c,4181b864,8670bc3c,8670bc3c,8673bc3c,8673bc3c,8673bc3c,8673bc3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
640,640,0,8671bc3c,0083ffc03ffffffea08674bc3c8674bc3c8674bc3c8674bc3c8671bc3c8671bc3c418113c88671bc3c,418113c8,8671bc3c,8671bc3c,8674bc3c,8674bc3c,8674bc3c,8674bc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
641,641,0,8672bc3c,0083ffc03fffffffa08675bc3c8675bc3c8675bc3c8675bc3c8672bc3c8672bc3c018113d98672bc3c,018113d9,8672bc3c,8672bc3c,8675bc3c,8675bc3c,8675bc3c,8675bc3c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
642,642,0,8673bc3c,0083ffc03fffffffb08676bc3c8676bc3c8676bc3c8676bc3c8673bc3c8673bc3c418113d08673bc3c,418113d0,8673bc3c,8673bc3c,8676bc3c,8676bc3c,8676bc3c,8676bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
643,643,0,8674bc3c,0083ffc03fffffffb08677bc3c8677bc3c8677bc3c8677bc3c8674bc3c8674bc3c0181b87a8674bc3c,0181b87a,8674bc3c,8674bc3c,8677bc3c,8677bc3c,8677bc3c,8677bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
644,644,0,8675bc3c,0083ffc03ffffffeb08678bc3c8678bc3c8678bc3c8678bc3c8675bc3c8675bc3c4181b86a8675bc3c,4181b86a,8675bc3c,8675bc3c,8678bc3c,8678bc3c,8678bc3c,8678bc3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
645,645,0,8676bc3c,0083ffc03ffffffea08679bc3c8679bc3c8679bc3c8679bc3c8676bc3c8676bc3c0181b86b8676bc3c,0181b86b,8676bc3c,8676bc3c,8679bc3c,8679bc3c,8679bc3c,8679bc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
646,646,0,8677bc3c,0083ffc03fffffffa0867abc3c867abc3c867abc3c867abc3c8677bc3c8677bc3c418113cb8677bc3c,418113cb,8677bc3c,8677bc3c,867abc3c,867abc3c,867abc3c,867abc3c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
647,647,0,8678bc3c,0083ffc03fffffffb0867bbc3c867bbc3c867bbc3c867bbc3c8678bc3c8678bc3c418113d98678bc3c,418113d9,8678bc3c,8678bc3c,867bbc3c,867bbc3c,867bbc3c,867bbc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
648,648,0,8679bc3c,0083ffc03fffffffb0867cbc3c867cbc3c867cbc3c867cbc3c8679bc3c8679bc3c4181b86c8679bc3c,4181b86c,8679bc3c,8679bc3c,867cbc3c,867cbc3c,867cbc3c,867cbc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
649,649,0,867abc3c,0083ffc03ffffffeb0867dbc3c867dbc3c867dbc3c867dbc3c867abc3c867abc3c0181b86d867abc3c,0181b86d,867abc3c,867abc3c,867dbc3c,867dbc3c,867dbc3c,867dbc3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
650,650,0,867bbc3c,0083ffc03ffffffea0867ebc3c867ebc3c867ebc3c867ebc3c867bbc3c867bbc3c418113cd867bbc3c,418113cd,867bbc3c,867bbc3c,867ebc3c,867ebc3c,867ebc3c,867ebc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
651,651,0,867cbc3c,0083ffc03fffffffa0867fbc3c867fbc3c867fbc3c867fbc3c867cbc3c867cbc3c0181b86e867cbc3c,0181b86e,867cbc3c,867cbc3c,867fbc3c,867fbc3c,867fbc3c,867fbc3c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
652,652,0,867dbc3c,0083ffc03fffffffb08680bc3c8680bc3c8680bc3c8680bc3c867dbc3c867dbc3c0181b871867dbc3c,0181b871,867dbc3c,867dbc3c,8680bc3c,8680bc3c,8680bc3c,8680bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
653,653,0,867ebc3c,0083ffc03fffffffb08681bc3c8681bc3c8681bc3c8681bc3c867ebc3c867ebc3c4181b870867ebc3c,4181b870,867ebc3c,867ebc3c,8681bc3c,8681bc3c,8681bc3c,8681bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
654,654,0,867fbc3c,0083ffc03ffffffeb08682bc3c8682bc3c8682bc3c8682bc3c867fbc3c867fbc3c0181b865867fbc3c,0181b865,867fbc3c,867fbc3c,8682bc3c,8682bc3c,8682bc3c,8682bc3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
655,655,0,8680bc3c,0083ffc03ffffffea08683bc3c8683bc3c8683bc3c8683bc3c8680bc3c8680bc3c418113a38680bc3c,418113a3,8680bc3c,8680bc3c,8683bc3c,8683bc3c,8683bc3c,8683bc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
656,656,0,8681bc3c,0083ffc03fffffffa08684bc3c8684bc3c8684bc3c8684bc3c8681bc3c8681bc3c018113b78681bc3c,018113b7,8681bc3c,8681bc3c,8684bc3c,8684bc3c,8684bc3c,8684bc3c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
657,657,0,8682bc3c,0083ffc03fffffffb08685bc3c8685bc3c8685bc3c8685bc3c8682bc3c8682bc3c418113a98682bc3c,418113a9,8682bc3c,8682bc3c,8685bc3c,8685bc3c,8685bc3c,8685bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
658,658,0,8683bc3c,0083ffc03fffffffb08686bc3c8686bc3c8686bc3c8686bc3c8683bc3c8683bc3c418113b18683bc3c,418113b1,8683bc3c,8683bc3c,8686bc3c,8686bc3c,8686bc3c,8686bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
659,659,0,8684bc3c,0083ffc03ffffffeb08687bc3c8687bc3c8687bc3c8687bc3c8684bc3c8684bc3c0181b8158684bc3c,0181b815,8684bc3c,8684bc3c,8687bc3c,8687bc3c,8687bc3c,8687bc3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
660,660,0,8685bc3c,0083ffc03ffffffea08688bc3c8688bc3c8688bc3c8688bc3c8685bc3c8685bc3c418113b28685bc3c,418113b2,8685bc3c,8685bc3c,8688bc3c,8688bc3c,8688bc3c,8688bc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
661,661,0,8686bc3c,0083ffc03fffffffa08689bc3c8689bc3c8689bc3c8689bc3c8686bc3c8686bc3c018113b88686bc3c,018113b8,8686bc3c,8686bc3c,8689bc3c,8689bc3c,8689bc3c,8689bc3c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
662,662,0,8687bc3c,0083ffc03fffffffb0868abc3c868abc3c868abc3c868abc3c8687bc3c8687bc3c418113a38687bc3c,418113a3,8687bc3c,8687bc3c,868abc3c,868abc3c,868abc3c,868abc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
663,663,0,8688bc3c,0083ffc03fffffffb0868bbc3c868bbc3c868bbc3c868bbc3c8688bc3c8688bc3c0181b8138688bc3c,0181b813,8688bc3c,8688bc3c,868bbc3c,868bbc3c,868bbc3c,868bbc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
664,664,0,8689bc3c,0083ffc03ffffffeb0868cbc3c868cbc3c868cbc3c868cbc3c8689bc3c8689bc3c418113b48689bc3c,418113b4,8689bc3c,8689bc3c,868cbc3c,868cbc3c,868cbc3c,868cbc3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
665,665,0,868abc3c,0083ffc03ffffffea0868dbc3c868dbc3c868dbc3c868dbc3c868abc3c868abc3c018113bf868abc3c,018113bf,868abc3c,868abc3c,868dbc3c,868dbc3c,868dbc3c,868dbc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
666,666,0,868bbc3c,0083ffc03fffffffa0868ebc3c868ebc3c868ebc3c868ebc3c868bbc3c868bbc3c418113a5868bbc3c,418113a5,868bbc3c,868bbc3c,868ebc3c,868ebc3c,868ebc3c,868ebc3c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
667,667,0,868cbc3c,0083ffc03fffffffb0868fbc3c868fbc3c868fbc3c868fbc3c868cbc3c868cbc3c018113b0868cbc3c,018113b0,868cbc3c,868cbc3c,868fbc3c,868fbc3c,868fbc3c,868fbc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
668,668,0,868dbc3c,0083ffc03fffffffb08690bc3c8690bc3c8690bc3c8690bc3c868dbc3c868dbc3c418113a6868dbc3c,418113a6,868dbc3c,868dbc3c,8690bc3c,8690bc3c,8690bc3c,8690bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
669,669,0,868ebc3c,0083ffc03ffffffeb08691bc3c8691bc3c8691bc3c8691bc3c868ebc3c868ebc3c018113a8868ebc3c,018113a8,868ebc3c,868ebc3c,8691bc3c,8691bc3c,8691bc3c,8691bc3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
670,670,0,868fbc3c,0083ffc03ffffffea08692bc3c8692bc3c8692bc3c8692bc3c868fbc3c868fbc3c4181b81d868fbc3c,4181b81d,868fbc3c,868fbc3c,8692bc3c,8692bc3c,8692bc3c,8692bc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
671,671,0,8690bc3c,0083ffc03fffffffa08693bc3c8693bc3c8693bc3c8693bc3c8690bc3c8690bc3c4181b81b8690bc3c,4181b81b,8690bc3c,8690bc3c,8693bc3c,8693bc3c,8693bc3c,8693bc3c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
672,672,0,8691bc3c,0083ffc03fffffffb08694bc3c8694bc3c8694bc3c8694bc3c8691bc3c8691bc3c4181b8988691bc3c,4181b898,8691bc3c,8691bc3c,8694bc3c,8694bc3c,8694bc3c,8694bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
673,673,0,8692bc3c,0083ffc03fffffffb08695bc3c8695bc3c8695bc3c8695bc3c8692bc3c8692bc3c0181b8198692bc3c,0181b819,8692bc3c,8692bc3c,8695bc3c,8695bc3c,8695bc3c,8695bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
