Sample in Buffer,Sample in Window,TRIGGER,ila_data[717:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],tx8b10ben_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],rxchanisaligned_int[3:0],rxchanrealign_int[3:0],rxchanbondseq_int[3:0],rxchbondi_int[19:0],rxchbondo_int[19:0]
9,9,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d640f121d640f121d640f121d64121d610f121d610f121d610f121d610f,121d610f,121d610f,121d610f,121d610f,0f121d64,0f121d64,0f121d64,0f121d64,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
10,10,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa00f121d650f121d650f121d650f121d65121d620f121d620f121d620f121d620f,121d620f,121d620f,121d620f,121d620f,0f121d65,0f121d65,0f121d65,0f121d65,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
11,11,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa00f121d660f121d660f121d660f121d66121d630f121d630f121d630f121d630f,121d630f,121d630f,121d630f,121d630f,0f121d66,0f121d66,0f121d66,0f121d66,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
12,12,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d670f121d670f121d670f121d67121d640f121d640f121d640f121d640f,121d640f,121d640f,121d640f,121d640f,0f121d67,0f121d67,0f121d67,0f121d67,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
13,13,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d680f121d680f121d680f121d68121d650f121d650f121d650f121d650f,121d650f,121d650f,121d650f,121d650f,0f121d68,0f121d68,0f121d68,0f121d68,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
14,14,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d690f121d690f121d690f121d69121d660f121d660f121d660f121d660f,121d660f,121d660f,121d660f,121d660f,0f121d69,0f121d69,0f121d69,0f121d69,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
15,15,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa00f121d6a0f121d6a0f121d6a0f121d6a121d670f121d670f121d670f121d670f,121d670f,121d670f,121d670f,121d670f,0f121d6a,0f121d6a,0f121d6a,0f121d6a,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
16,16,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa00f121d6b0f121d6b0f121d6b0f121d6b121d680f121d680f121d680f121d680f,121d680f,121d680f,121d680f,121d680f,0f121d6b,0f121d6b,0f121d6b,0f121d6b,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
17,17,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d6c0f121d6c0f121d6c0f121d6c121d690f121d690f121d690f121d690f,121d690f,121d690f,121d690f,121d690f,0f121d6c,0f121d6c,0f121d6c,0f121d6c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
18,18,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d6d0f121d6d0f121d6d0f121d6d121d6a0f121d6a0f121d6a0f121d6a0f,121d6a0f,121d6a0f,121d6a0f,121d6a0f,0f121d6d,0f121d6d,0f121d6d,0f121d6d,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
19,19,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d6e0f121d6e0f121d6e0f121d6e121d6b0f121d6b0f121d6b0f121d6b0f,121d6b0f,121d6b0f,121d6b0f,121d6b0f,0f121d6e,0f121d6e,0f121d6e,0f121d6e,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
20,20,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa00f121d6f0f121d6f0f121d6f0f121d6f121d6c0f121d6c0f121d6c0f121d6c0f,121d6c0f,121d6c0f,121d6c0f,121d6c0f,0f121d6f,0f121d6f,0f121d6f,0f121d6f,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
21,21,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa00f121d700f121d700f121d700f121d70121d6d0f121d6d0f121d6d0f121d6d0f,121d6d0f,121d6d0f,121d6d0f,121d6d0f,0f121d70,0f121d70,0f121d70,0f121d70,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
22,22,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d710f121d710f121d710f121d71121d6e0f121d6e0f121d6e0f121d6e0f,121d6e0f,121d6e0f,121d6e0f,121d6e0f,0f121d71,0f121d71,0f121d71,0f121d71,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
23,23,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d720f121d720f121d720f121d72121d6f0f121d6f0f121d6f0f121d6f0f,121d6f0f,121d6f0f,121d6f0f,121d6f0f,0f121d72,0f121d72,0f121d72,0f121d72,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
24,24,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d730f121d730f121d730f121d73121d700f121d700f121d700f121d700f,121d700f,121d700f,121d700f,121d700f,0f121d73,0f121d73,0f121d73,0f121d73,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
25,25,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa00f121d740f121d740f121d740f121d74121d710f121d710f121d710f121d710f,121d710f,121d710f,121d710f,121d710f,0f121d74,0f121d74,0f121d74,0f121d74,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
26,26,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa00f121d750f121d750f121d750f121d75121d720f121d720f121d720f121d720f,121d720f,121d720f,121d720f,121d720f,0f121d75,0f121d75,0f121d75,0f121d75,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
27,27,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d760f121d760f121d760f121d76121d730f121d730f121d730f121d730f,121d730f,121d730f,121d730f,121d730f,0f121d76,0f121d76,0f121d76,0f121d76,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
28,28,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d770f121d770f121d770f121d77121d740f121d740f121d740f121d740f,121d740f,121d740f,121d740f,121d740f,0f121d77,0f121d77,0f121d77,0f121d77,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
29,29,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d780f121d780f121d780f121d78121d750f121d750f121d750f121d750f,121d750f,121d750f,121d750f,121d750f,0f121d78,0f121d78,0f121d78,0f121d78,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
30,30,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa00f121d790f121d790f121d790f121d79121d760f121d760f121d760f121d760f,121d760f,121d760f,121d760f,121d760f,0f121d79,0f121d79,0f121d79,0f121d79,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
31,31,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa00f121d7a0f121d7a0f121d7a0f121d7a121d770f121d770f121d770f121d770f,121d770f,121d770f,121d770f,121d770f,0f121d7a,0f121d7a,0f121d7a,0f121d7a,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
32,32,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d7b0f121d7b0f121d7b0f121d7b121d780f121d780f121d780f121d780f,121d780f,121d780f,121d780f,121d780f,0f121d7b,0f121d7b,0f121d7b,0f121d7b,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
33,33,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d7c0f121d7c0f121d7c0f121d7c121d790f121d790f121d790f121d790f,121d790f,121d790f,121d790f,121d790f,0f121d7c,0f121d7c,0f121d7c,0f121d7c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
34,34,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d7d0f121d7d0f121d7d0f121d7d121d7a0f121d7a0f121d7a0f121d7a0f,121d7a0f,121d7a0f,121d7a0f,121d7a0f,0f121d7d,0f121d7d,0f121d7d,0f121d7d,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
35,35,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa00f121d7e0f121d7e0f121d7e0f121d7e121d7b0f121d7b0f121d7b0f121d7b0f,121d7b0f,121d7b0f,121d7b0f,121d7b0f,0f121d7e,0f121d7e,0f121d7e,0f121d7e,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
36,36,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa00f121d7f0f121d7f0f121d7f0f121d7f121d7c0f121d7c0f121d7c0f121d7c0f,121d7c0f,121d7c0f,121d7c0f,121d7c0f,0f121d7f,0f121d7f,0f121d7f,0f121d7f,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
37,37,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d800f121d800f121d800f121d80121d7d0f121d7d0f121d7d0f121d7d0f,121d7d0f,121d7d0f,121d7d0f,121d7d0f,0f121d80,0f121d80,0f121d80,0f121d80,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
38,38,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d810f121d810f121d810f121d81121d7e0f121d7e0f121d7e0f121d7e0f,121d7e0f,121d7e0f,121d7e0f,121d7e0f,0f121d81,0f121d81,0f121d81,0f121d81,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
39,39,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d820f121d820f121d820f121d82121d7f0f121d7f0f121d7f0f121d7f0f,121d7f0f,121d7f0f,121d7f0f,121d7f0f,0f121d82,0f121d82,0f121d82,0f121d82,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
40,40,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa00f121d830f121d830f121d830f121d83121d800f121d800f121d800f121d800f,121d800f,121d800f,121d800f,121d800f,0f121d83,0f121d83,0f121d83,0f121d83,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
41,41,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa00f121d840f121d840f121d840f121d84121d810f121d810f121d810f121d810f,121d810f,121d810f,121d810f,121d810f,0f121d84,0f121d84,0f121d84,0f121d84,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
42,42,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb00f121d850f121d850f121d850f121d85121d820f121d820f121d820f121d820f,121d820f,121d820f,121d820f,121d820f,0f121d85,0f121d85,0f121d85,0f121d85,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
