Sample in Buffer,Sample in Window,TRIGGER,ila_data_rx[191:0],userdata_rx_0[31:0],userdata_rx_1[31:0],rxdata_ctr_0[15:0],rxdata_ctr_1[15:0],ch0_rxctrl2[7:0],ch1_rxctrl2[7:0],rxbyteisaligned_i[1:0],rxbyterealign_i[1:0],rxcommadet_i[1:0],prbs_match_i[1:0],rxdata_errctr_0[15:0],rxdata_errctr_1[15:0],rxdata_nmlctr_i[39:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
912,912,0,072c2be339000c000cc0006300000000ccb76360ccb76360,ccb76360,ccb76360,0000,0000,63,00,0,0,0,3,000c,000c,072c2be339
913,913,0,072c2be33a000c000cc0006300000000856f3879856f3879,856f3879,856f3879,0000,0000,63,00,0,0,0,3,000c,000c,072c2be33a
914,914,0,072c2be33b000c000cc0006300000000f51e9044f51e9044,f51e9044,f51e9044,0000,0000,63,00,0,0,0,3,000c,000c,072c2be33b
915,915,0,072c2be33c000c000cc00063000000009a215ed99a215ed9,9a215ed9,9a215ed9,0000,0000,63,00,0,0,0,3,000c,000c,072c2be33c
916,916,0,072c2be33d000c000cc00063000000005b4d457e5b4d457e,5b4d457e,5b4d457e,0000,0000,63,00,0,0,0,3,000c,000c,072c2be33d
917,917,0,072c2be33e000c000cc000630000000027ed891727ed8917,27ed8917,27ed8917,0000,0000,63,00,0,0,0,3,000c,000c,072c2be33e
918,918,0,072c2be33f000c000cc00063000000003e77e3e53e77e3e5,3e77e3e5,3e77e3e5,0000,0000,63,00,0,0,0,3,000c,000c,072c2be33f
919,919,0,072c2be340000c000cc00063000000005323703353237033,53237033,53237033,0000,0000,63,00,0,0,0,3,000c,000c,072c2be340
920,920,0,072c2be341000c000cc0006300000000035c70e5035c70e5,035c70e5,035c70e5,0000,0000,63,00,0,0,0,3,000c,000c,072c2be341
921,921,0,072c2be342000c000cc00063000000004e6400834e640083,4e640083,4e640083,0000,0000,63,00,0,0,0,3,000c,000c,072c2be342
