Sample in Buffer,Sample in Window,TRIGGER,ila_data[313:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,gtwiz_reset_all_int,gtwiz_reset_rx_done_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtpowergood_int[3:0],rx8b10ben_int[3:0],rxlpmen_int[3:0],rxcommadeten_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
236,236,0,3ffc03ffffffea04ccf503c4ccf503c4ccf503c4ccf503c503c4ccc4ccc503c4ccc503c4ccc503c,4ccc503c,4ccc503c,4ccc503c,503c4ccc,4ccf503c,4ccf503c,4ccf503c,4ccf503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
237,237,0,3ffc03fffffffa04cd0503c4cd0503c4cd0503c4cd0503c503c4ccd4ccd503c4ccd503c4ccd503c,4ccd503c,4ccd503c,4ccd503c,503c4ccd,4cd0503c,4cd0503c,4cd0503c,4cd0503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
238,238,0,3ffc03fffffffa04cd1503c4cd1503c4cd1503c4cd1503c503c4cce4cce503c4cce503c4cce503c,4cce503c,4cce503c,4cce503c,503c4cce,4cd1503c,4cd1503c,4cd1503c,4cd1503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
239,239,0,3ffc03ffffffeb04cd2503c4cd2503c4cd2503c4cd2503c503c4ccf4ccf503c4ccf503c4ccf503c,4ccf503c,4ccf503c,4ccf503c,503c4ccf,4cd2503c,4cd2503c,4cd2503c,4cd2503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
240,240,0,3ffc03ffffffeb04cd3503c4cd3503c4cd3503c4cd3503c503c4cd04cd0503c4cd0503c4cd0503c,4cd0503c,4cd0503c,4cd0503c,503c4cd0,4cd3503c,4cd3503c,4cd3503c,4cd3503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
241,241,0,3ffc03ffffffea04cd4503c4cd4503c4cd4503c4cd4503c503c4cd14cd1503c4cd1503c4cd1503c,4cd1503c,4cd1503c,4cd1503c,503c4cd1,4cd4503c,4cd4503c,4cd4503c,4cd4503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
242,242,0,3ffc03fffffffa04cd5503c4cd5503c4cd5503c4cd5503c503c4cd24cd2503c4cd2503c4cd2503c,4cd2503c,4cd2503c,4cd2503c,503c4cd2,4cd5503c,4cd5503c,4cd5503c,4cd5503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
243,243,0,3ffc03fffffffa04cd6503c4cd6503c4cd6503c4cd6503c503c4cd34cd3503c4cd3503c4cd3503c,4cd3503c,4cd3503c,4cd3503c,503c4cd3,4cd6503c,4cd6503c,4cd6503c,4cd6503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
244,244,0,3ffc03ffffffeb04cd7503c4cd7503c4cd7503c4cd7503c503c4cd44cd4503c4cd4503c4cd4503c,4cd4503c,4cd4503c,4cd4503c,503c4cd4,4cd7503c,4cd7503c,4cd7503c,4cd7503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
245,245,0,3ffc03ffffffeb04cd8503c4cd8503c4cd8503c4cd8503c503c4cd54cd5503c4cd5503c4cd5503c,4cd5503c,4cd5503c,4cd5503c,503c4cd5,4cd8503c,4cd8503c,4cd8503c,4cd8503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
246,246,0,3ffc03ffffffea04cd9503c4cd9503c4cd9503c4cd9503c503c4cd64cd6503c4cd6503c4cd6503c,4cd6503c,4cd6503c,4cd6503c,503c4cd6,4cd9503c,4cd9503c,4cd9503c,4cd9503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
247,247,0,3ffc03fffffffa04cda503c4cda503c4cda503c4cda503c503c4cd74cd7503c4cd7503c4cd7503c,4cd7503c,4cd7503c,4cd7503c,503c4cd7,4cda503c,4cda503c,4cda503c,4cda503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
248,248,0,3ffc03fffffffa04cdb503c4cdb503c4cdb503c4cdb503c503c4cd84cd8503c4cd8503c4cd8503c,4cd8503c,4cd8503c,4cd8503c,503c4cd8,4cdb503c,4cdb503c,4cdb503c,4cdb503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
249,249,0,3ffc03ffffffeb04cdc503c4cdc503c4cdc503c4cdc503c503c4cd94cd9503c4cd9503c4cd9503c,4cd9503c,4cd9503c,4cd9503c,503c4cd9,4cdc503c,4cdc503c,4cdc503c,4cdc503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
250,250,0,3ffc03ffffffeb04cdd503c4cdd503c4cdd503c4cdd503c503c4cda4cda503c4cda503c4cda503c,4cda503c,4cda503c,4cda503c,503c4cda,4cdd503c,4cdd503c,4cdd503c,4cdd503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
251,251,0,3ffc03ffffffea04cde503c4cde503c4cde503c4cde503c503c4cdb4cdb503c4cdb503c4cdb503c,4cdb503c,4cdb503c,4cdb503c,503c4cdb,4cde503c,4cde503c,4cde503c,4cde503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
252,252,0,3ffc03fffffffa04cdf503c4cdf503c4cdf503c4cdf503c503c4cdc4cdc503c4cdc503c4cdc503c,4cdc503c,4cdc503c,4cdc503c,503c4cdc,4cdf503c,4cdf503c,4cdf503c,4cdf503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
253,253,0,3ffc03fffffffa04ce0503c4ce0503c4ce0503c4ce0503c503c4cdd4cdd503c4cdd503c4cdd503c,4cdd503c,4cdd503c,4cdd503c,503c4cdd,4ce0503c,4ce0503c,4ce0503c,4ce0503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
254,254,0,3ffc03ffffffeb04ce1503c4ce1503c4ce1503c4ce1503c503c4cde4cde503c4cde503c4cde503c,4cde503c,4cde503c,4cde503c,503c4cde,4ce1503c,4ce1503c,4ce1503c,4ce1503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
255,255,0,3ffc03ffffffeb04ce2503c4ce2503c4ce2503c4ce2503c503c4cdf4cdf503c4cdf503c4cdf503c,4cdf503c,4cdf503c,4cdf503c,503c4cdf,4ce2503c,4ce2503c,4ce2503c,4ce2503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
256,256,0,3ffc03ffffffea04ce3503c4ce3503c4ce3503c4ce3503c503c4ce04ce0503c4ce0503c4ce0503c,4ce0503c,4ce0503c,4ce0503c,503c4ce0,4ce3503c,4ce3503c,4ce3503c,4ce3503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
257,257,0,3ffc03fffffffa04ce4503c4ce4503c4ce4503c4ce4503c503c4ce14ce1503c4ce1503c4ce1503c,4ce1503c,4ce1503c,4ce1503c,503c4ce1,4ce4503c,4ce4503c,4ce4503c,4ce4503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
258,258,0,3ffc03fffffffa04ce5503c4ce5503c4ce5503c4ce5503c503c4ce24ce2503c4ce2503c4ce2503c,4ce2503c,4ce2503c,4ce2503c,503c4ce2,4ce5503c,4ce5503c,4ce5503c,4ce5503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
259,259,0,3ffc03ffffffeb04ce6503c4ce6503c4ce6503c4ce6503c503c4ce34ce3503c4ce3503c4ce3503c,4ce3503c,4ce3503c,4ce3503c,503c4ce3,4ce6503c,4ce6503c,4ce6503c,4ce6503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
260,260,0,3ffc03ffffffeb04ce7503c4ce7503c4ce7503c4ce7503c503c4ce44ce4503c4ce4503c4ce4503c,4ce4503c,4ce4503c,4ce4503c,503c4ce4,4ce7503c,4ce7503c,4ce7503c,4ce7503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
261,261,0,3ffc03ffffffea04ce8503c4ce8503c4ce8503c4ce8503c503c4ce54ce5503c4ce5503c4ce5503c,4ce5503c,4ce5503c,4ce5503c,503c4ce5,4ce8503c,4ce8503c,4ce8503c,4ce8503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
262,262,0,3ffc03fffffffa04ce9503c4ce9503c4ce9503c4ce9503c503c4ce64ce6503c4ce6503c4ce6503c,4ce6503c,4ce6503c,4ce6503c,503c4ce6,4ce9503c,4ce9503c,4ce9503c,4ce9503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
263,263,0,3ffc03fffffffa04cea503c4cea503c4cea503c4cea503c503c4ce74ce7503c4ce7503c4ce7503c,4ce7503c,4ce7503c,4ce7503c,503c4ce7,4cea503c,4cea503c,4cea503c,4cea503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
264,264,0,3ffc03ffffffeb04ceb503c4ceb503c4ceb503c4ceb503c503c4ce84ce8503c4ce8503c4ce8503c,4ce8503c,4ce8503c,4ce8503c,503c4ce8,4ceb503c,4ceb503c,4ceb503c,4ceb503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
265,265,0,3ffc03ffffffeb04cec503c4cec503c4cec503c4cec503c503c4ce94ce9503c4ce9503c4ce9503c,4ce9503c,4ce9503c,4ce9503c,503c4ce9,4cec503c,4cec503c,4cec503c,4cec503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
266,266,0,3ffc03ffffffea04ced503c4ced503c4ced503c4ced503c503c4cea4cea503c4cea503c4cea503c,4cea503c,4cea503c,4cea503c,503c4cea,4ced503c,4ced503c,4ced503c,4ced503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
267,267,0,3ffc03fffffffa04cee503c4cee503c4cee503c4cee503c503c4ceb4ceb503c4ceb503c4ceb503c,4ceb503c,4ceb503c,4ceb503c,503c4ceb,4cee503c,4cee503c,4cee503c,4cee503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
268,268,0,3ffc03fffffffa04cef503c4cef503c4cef503c4cef503c503c4cec4cec503c4cec503c4cec503c,4cec503c,4cec503c,4cec503c,503c4cec,4cef503c,4cef503c,4cef503c,4cef503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
269,269,0,3ffc03ffffffeb04cf0503c4cf0503c4cf0503c4cf0503c503c4ced4ced503c4ced503c4ced503c,4ced503c,4ced503c,4ced503c,503c4ced,4cf0503c,4cf0503c,4cf0503c,4cf0503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
270,270,0,3ffc03ffffffeb04cf1503c4cf1503c4cf1503c4cf1503c503c4cee4cee503c4cee503c4cee503c,4cee503c,4cee503c,4cee503c,503c4cee,4cf1503c,4cf1503c,4cf1503c,4cf1503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
271,271,0,3ffc03ffffffea04cf2503c4cf2503c4cf2503c4cf2503c503c4cef4cef503c4cef503c4cef503c,4cef503c,4cef503c,4cef503c,503c4cef,4cf2503c,4cf2503c,4cf2503c,4cf2503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
272,272,0,3ffc03fffffffa04cf3503c4cf3503c4cf3503c4cf3503c503c4cf04cf0503c4cf0503c4cf0503c,4cf0503c,4cf0503c,4cf0503c,503c4cf0,4cf3503c,4cf3503c,4cf3503c,4cf3503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
273,273,0,3ffc03fffffffa04cf4503c4cf4503c4cf4503c4cf4503c503c4cf14cf1503c4cf1503c4cf1503c,4cf1503c,4cf1503c,4cf1503c,503c4cf1,4cf4503c,4cf4503c,4cf4503c,4cf4503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
274,274,0,3ffc03ffffffeb04cf5503c4cf5503c4cf5503c4cf5503c503c4cf24cf2503c4cf2503c4cf2503c,4cf2503c,4cf2503c,4cf2503c,503c4cf2,4cf5503c,4cf5503c,4cf5503c,4cf5503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
275,275,0,3ffc03ffffffeb04cf6503c4cf6503c4cf6503c4cf6503c503c4cf34cf3503c4cf3503c4cf3503c,4cf3503c,4cf3503c,4cf3503c,503c4cf3,4cf6503c,4cf6503c,4cf6503c,4cf6503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
276,276,0,3ffc03ffffffea04cf7503c4cf7503c4cf7503c4cf7503c503c4cf44cf4503c4cf4503c4cf4503c,4cf4503c,4cf4503c,4cf4503c,503c4cf4,4cf7503c,4cf7503c,4cf7503c,4cf7503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
277,277,0,3ffc03fffffffa04cf8503c4cf8503c4cf8503c4cf8503c503c4cf54cf5503c4cf5503c4cf5503c,4cf5503c,4cf5503c,4cf5503c,503c4cf5,4cf8503c,4cf8503c,4cf8503c,4cf8503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
278,278,0,3ffc03fffffffa04cf9503c4cf9503c4cf9503c4cf9503c503c4cf64cf6503c4cf6503c4cf6503c,4cf6503c,4cf6503c,4cf6503c,503c4cf6,4cf9503c,4cf9503c,4cf9503c,4cf9503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
279,279,0,3ffc03ffffffeb04cfa503c4cfa503c4cfa503c4cfa503c503c4cf74cf7503c4cf7503c4cf7503c,4cf7503c,4cf7503c,4cf7503c,503c4cf7,4cfa503c,4cfa503c,4cfa503c,4cfa503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
280,280,0,3ffc03ffffffeb04cfb503c4cfb503c4cfb503c4cfb503c503c4cf84cf8503c4cf8503c4cf8503c,4cf8503c,4cf8503c,4cf8503c,503c4cf8,4cfb503c,4cfb503c,4cfb503c,4cfb503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
281,281,0,3ffc03ffffffea04cfc503c4cfc503c4cfc503c4cfc503c503c4cf94cf9503c4cf9503c4cf9503c,4cf9503c,4cf9503c,4cf9503c,503c4cf9,4cfc503c,4cfc503c,4cfc503c,4cfc503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
282,282,0,3ffc03fffffffa04cfd503c4cfd503c4cfd503c4cfd503c503c4cfa4cfa503c4cfa503c4cfa503c,4cfa503c,4cfa503c,4cfa503c,503c4cfa,4cfd503c,4cfd503c,4cfd503c,4cfd503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
283,283,0,3ffc03fffffffa04cfe503c4cfe503c4cfe503c4cfe503c503c4cfb4cfb503c4cfb503c4cfb503c,4cfb503c,4cfb503c,4cfb503c,503c4cfb,4cfe503c,4cfe503c,4cfe503c,4cfe503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
284,284,0,3ffc03ffffffeb04cff503c4cff503c4cff503c4cff503c503c4cfc4cfc503c4cfc503c4cfc503c,4cfc503c,4cfc503c,4cfc503c,503c4cfc,4cff503c,4cff503c,4cff503c,4cff503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
285,285,0,3ffc03ffffffeb04d00503c4d00503c4d00503c4d00503c503c4cfd4cfd503c4cfd503c4cfd503c,4cfd503c,4cfd503c,4cfd503c,503c4cfd,4d00503c,4d00503c,4d00503c,4d00503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
286,286,0,3ffc03ffffffea04d01503c4d01503c4d01503c4d01503c503c4cfe4cfe503c4cfe503c4cfe503c,4cfe503c,4cfe503c,4cfe503c,503c4cfe,4d01503c,4d01503c,4d01503c,4d01503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
287,287,0,3ffc03fffffffa04d02503c4d02503c4d02503c4d02503c503c4cff4cff503c4cff503c4cff503c,4cff503c,4cff503c,4cff503c,503c4cff,4d02503c,4d02503c,4d02503c,4d02503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
288,288,0,3ffc03fffffffa04d03503c4d03503c4d03503c4d03503c503c4d004d00503c4d00503c4d00503c,4d00503c,4d00503c,4d00503c,503c4d00,4d03503c,4d03503c,4d03503c,4d03503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
289,289,0,3ffc03ffffffeb04d04503c4d04503c4d04503c4d04503c503c4d014d01503c4d01503c4d01503c,4d01503c,4d01503c,4d01503c,503c4d01,4d04503c,4d04503c,4d04503c,4d04503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
290,290,0,3ffc03ffffffeb04d05503c4d05503c4d05503c4d05503c503c4d024d02503c4d02503c4d02503c,4d02503c,4d02503c,4d02503c,503c4d02,4d05503c,4d05503c,4d05503c,4d05503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
291,291,0,3ffc03ffffffea04d06503c4d06503c4d06503c4d06503c503c4d034d03503c4d03503c4d03503c,4d03503c,4d03503c,4d03503c,503c4d03,4d06503c,4d06503c,4d06503c,4d06503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
292,292,0,3ffc03fffffffa04d07503c4d07503c4d07503c4d07503c503c4d044d04503c4d04503c4d04503c,4d04503c,4d04503c,4d04503c,503c4d04,4d07503c,4d07503c,4d07503c,4d07503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
293,293,0,3ffc03fffffffa04d08503c4d08503c4d08503c4d08503c503c4d054d05503c4d05503c4d05503c,4d05503c,4d05503c,4d05503c,503c4d05,4d08503c,4d08503c,4d08503c,4d08503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
294,294,0,3ffc03ffffffeb04d09503c4d09503c4d09503c4d09503c503c4d064d06503c4d06503c4d06503c,4d06503c,4d06503c,4d06503c,503c4d06,4d09503c,4d09503c,4d09503c,4d09503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
295,295,0,3ffc03ffffffeb04d0a503c4d0a503c4d0a503c4d0a503c503c4d074d07503c4d07503c4d07503c,4d07503c,4d07503c,4d07503c,503c4d07,4d0a503c,4d0a503c,4d0a503c,4d0a503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
296,296,0,3ffc03ffffffea04d0b503c4d0b503c4d0b503c4d0b503c503c4d084d08503c4d08503c4d08503c,4d08503c,4d08503c,4d08503c,503c4d08,4d0b503c,4d0b503c,4d0b503c,4d0b503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
297,297,0,3ffc03fffffffa04d0c503c4d0c503c4d0c503c4d0c503c503c4d094d09503c4d09503c4d09503c,4d09503c,4d09503c,4d09503c,503c4d09,4d0c503c,4d0c503c,4d0c503c,4d0c503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
298,298,0,3ffc03fffffffa04d0d503c4d0d503c4d0d503c4d0d503c503c4d0a4d0a503c4d0a503c4d0a503c,4d0a503c,4d0a503c,4d0a503c,503c4d0a,4d0d503c,4d0d503c,4d0d503c,4d0d503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
299,299,0,3ffc03ffffffeb04d0e503c4d0e503c4d0e503c4d0e503c503c4d0b4d0b503c4d0b503c4d0b503c,4d0b503c,4d0b503c,4d0b503c,503c4d0b,4d0e503c,4d0e503c,4d0e503c,4d0e503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
300,300,0,3ffc03ffffffeb04d0f503c4d0f503c4d0f503c4d0f503c503c4d0c4d0c503c4d0c503c4d0c503c,4d0c503c,4d0c503c,4d0c503c,503c4d0c,4d0f503c,4d0f503c,4d0f503c,4d0f503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
301,301,0,3ffc03ffffffea04d10503c4d10503c4d10503c4d10503c503c4d0d4d0d503c4d0d503c4d0d503c,4d0d503c,4d0d503c,4d0d503c,503c4d0d,4d10503c,4d10503c,4d10503c,4d10503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
302,302,0,3ffc03fffffffa04d11503c4d11503c4d11503c4d11503c503c4d0e4d0e503c4d0e503c4d0e503c,4d0e503c,4d0e503c,4d0e503c,503c4d0e,4d11503c,4d11503c,4d11503c,4d11503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
303,303,0,3ffc03fffffffa04d12503c4d12503c4d12503c4d12503c503c4d0f4d0f503c4d0f503c4d0f503c,4d0f503c,4d0f503c,4d0f503c,503c4d0f,4d12503c,4d12503c,4d12503c,4d12503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
304,304,0,3ffc03ffffffeb04d13503c4d13503c4d13503c4d13503c503c4d104d10503c4d10503c4d10503c,4d10503c,4d10503c,4d10503c,503c4d10,4d13503c,4d13503c,4d13503c,4d13503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
305,305,0,3ffc03ffffffeb04d14503c4d14503c4d14503c4d14503c503c4d114d11503c4d11503c4d11503c,4d11503c,4d11503c,4d11503c,503c4d11,4d14503c,4d14503c,4d14503c,4d14503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
306,306,0,3ffc03ffffffea04d15503c4d15503c4d15503c4d15503c503c4d124d12503c4d12503c4d12503c,4d12503c,4d12503c,4d12503c,503c4d12,4d15503c,4d15503c,4d15503c,4d15503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
307,307,0,3ffc03fffffffa04d16503c4d16503c4d16503c4d16503c503c4d134d13503c4d13503c4d13503c,4d13503c,4d13503c,4d13503c,503c4d13,4d16503c,4d16503c,4d16503c,4d16503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
308,308,0,3ffc03fffffffa04d17503c4d17503c4d17503c4d17503c503c4d144d14503c4d14503c4d14503c,4d14503c,4d14503c,4d14503c,503c4d14,4d17503c,4d17503c,4d17503c,4d17503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
309,309,0,3ffc03ffffffeb04d18503c4d18503c4d18503c4d18503c503c4d154d15503c4d15503c4d15503c,4d15503c,4d15503c,4d15503c,503c4d15,4d18503c,4d18503c,4d18503c,4d18503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
310,310,0,3ffc03ffffffeb04d19503c4d19503c4d19503c4d19503c503c4d164d16503c4d16503c4d16503c,4d16503c,4d16503c,4d16503c,503c4d16,4d19503c,4d19503c,4d19503c,4d19503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
311,311,0,3ffc03ffffffea04d1a503c4d1a503c4d1a503c4d1a503c503c4d174d17503c4d17503c4d17503c,4d17503c,4d17503c,4d17503c,503c4d17,4d1a503c,4d1a503c,4d1a503c,4d1a503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
312,312,0,3ffc03fffffffa04d1b503c4d1b503c4d1b503c4d1b503c503c4d184d18503c4d18503c4d18503c,4d18503c,4d18503c,4d18503c,503c4d18,4d1b503c,4d1b503c,4d1b503c,4d1b503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
313,313,0,3ffc03fffffffa04d1c503c4d1c503c4d1c503c4d1c503c503c4d194d19503c4d19503c4d19503c,4d19503c,4d19503c,4d19503c,503c4d19,4d1c503c,4d1c503c,4d1c503c,4d1c503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
314,314,0,3ffc03ffffffeb04d1d503c4d1d503c4d1d503c4d1d503c503c4d1a4d1a503c4d1a503c4d1a503c,4d1a503c,4d1a503c,4d1a503c,503c4d1a,4d1d503c,4d1d503c,4d1d503c,4d1d503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
315,315,0,3ffc03ffffffeb04d1e503c4d1e503c4d1e503c4d1e503c503c4d1b4d1b503c4d1b503c4d1b503c,4d1b503c,4d1b503c,4d1b503c,503c4d1b,4d1e503c,4d1e503c,4d1e503c,4d1e503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
316,316,0,3ffc03ffffffea04d1f503c4d1f503c4d1f503c4d1f503c503c4d1c4d1c503c4d1c503c4d1c503c,4d1c503c,4d1c503c,4d1c503c,503c4d1c,4d1f503c,4d1f503c,4d1f503c,4d1f503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
317,317,0,3ffc03fffffffa04d20503c4d20503c4d20503c4d20503c503c4d1d4d1d503c4d1d503c4d1d503c,4d1d503c,4d1d503c,4d1d503c,503c4d1d,4d20503c,4d20503c,4d20503c,4d20503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
318,318,0,3ffc03fffffffa04d21503c4d21503c4d21503c4d21503c503c4d1e4d1e503c4d1e503c4d1e503c,4d1e503c,4d1e503c,4d1e503c,503c4d1e,4d21503c,4d21503c,4d21503c,4d21503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
319,319,0,3ffc03ffffffeb04d22503c4d22503c4d22503c4d22503c503c4d1f4d1f503c4d1f503c4d1f503c,4d1f503c,4d1f503c,4d1f503c,503c4d1f,4d22503c,4d22503c,4d22503c,4d22503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
320,320,0,3ffc03ffffffeb04d23503c4d23503c4d23503c4d23503c503c4d204d20503c4d20503c4d20503c,4d20503c,4d20503c,4d20503c,503c4d20,4d23503c,4d23503c,4d23503c,4d23503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
321,321,0,3ffc03ffffffea04d24503c4d24503c4d24503c4d24503c503c4d214d21503c4d21503c4d21503c,4d21503c,4d21503c,4d21503c,503c4d21,4d24503c,4d24503c,4d24503c,4d24503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
322,322,0,3ffc03fffffffa04d25503c4d25503c4d25503c4d25503c503c4d224d22503c4d22503c4d22503c,4d22503c,4d22503c,4d22503c,503c4d22,4d25503c,4d25503c,4d25503c,4d25503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
323,323,0,3ffc03fffffffa04d26503c4d26503c4d26503c4d26503c503c4d234d23503c4d23503c4d23503c,4d23503c,4d23503c,4d23503c,503c4d23,4d26503c,4d26503c,4d26503c,4d26503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
324,324,0,3ffc03ffffffeb04d27503c4d27503c4d27503c4d27503c503c4d244d24503c4d24503c4d24503c,4d24503c,4d24503c,4d24503c,503c4d24,4d27503c,4d27503c,4d27503c,4d27503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
325,325,0,3ffc03ffffffeb04d28503c4d28503c4d28503c4d28503c503c4d254d25503c4d25503c4d25503c,4d25503c,4d25503c,4d25503c,503c4d25,4d28503c,4d28503c,4d28503c,4d28503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
