Sample in Buffer,Sample in Window,TRIGGER,ila_data[313:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,gtwiz_reset_all_int,gtwiz_reset_rx_done_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtpowergood_int[3:0],rx8b10ben_int[3:0],rxlpmen_int[3:0],rxcommadeten_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
562,562,0,3ffc03fffffffa04e15503c4e15503c4e15503c4e15503c503c4e124e12503c4e12503c4e12503c,4e12503c,4e12503c,4e12503c,503c4e12,4e15503c,4e15503c,4e15503c,4e15503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
563,563,0,3ffc03fffffffa04e16503c4e16503c4e16503c4e16503c503c4e134e13503c4e13503c4e13503c,4e13503c,4e13503c,4e13503c,503c4e13,4e16503c,4e16503c,4e16503c,4e16503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
564,564,0,3ffc03ffffffeb04e17503c4e17503c4e17503c4e17503c503c4e144e14503c4e14503c4e14503c,4e14503c,4e14503c,4e14503c,503c4e14,4e17503c,4e17503c,4e17503c,4e17503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
565,565,0,3ffc03ffffffeb04e18503c4e18503c4e18503c4e18503c503c4e154e15503c4e15503c4e15503c,4e15503c,4e15503c,4e15503c,503c4e15,4e18503c,4e18503c,4e18503c,4e18503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
566,566,0,3ffc03ffffffea04e19503c4e19503c4e19503c4e19503c503c4e164e16503c4e16503c4e16503c,4e16503c,4e16503c,4e16503c,503c4e16,4e19503c,4e19503c,4e19503c,4e19503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
567,567,0,3ffc03fffffffa04e1a503c4e1a503c4e1a503c4e1a503c503c4e174e17503c4e17503c4e17503c,4e17503c,4e17503c,4e17503c,503c4e17,4e1a503c,4e1a503c,4e1a503c,4e1a503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
568,568,0,3ffc03fffffffa04e1b503c4e1b503c4e1b503c4e1b503c503c4e184e18503c4e18503c4e18503c,4e18503c,4e18503c,4e18503c,503c4e18,4e1b503c,4e1b503c,4e1b503c,4e1b503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
569,569,0,3ffc03ffffffeb04e1c503c4e1c503c4e1c503c4e1c503c503c4e194e19503c4e19503c4e19503c,4e19503c,4e19503c,4e19503c,503c4e19,4e1c503c,4e1c503c,4e1c503c,4e1c503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
570,570,0,3ffc03ffffffeb04e1d503c4e1d503c4e1d503c4e1d503c503c4e1a4e1a503c4e1a503c4e1a503c,4e1a503c,4e1a503c,4e1a503c,503c4e1a,4e1d503c,4e1d503c,4e1d503c,4e1d503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
571,571,0,3ffc03ffffffea04e1e503c4e1e503c4e1e503c4e1e503c503c4e1b4e1b503c4e1b503c4e1b503c,4e1b503c,4e1b503c,4e1b503c,503c4e1b,4e1e503c,4e1e503c,4e1e503c,4e1e503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
572,572,0,3ffc03fffffffa04e1f503c4e1f503c4e1f503c4e1f503c503c4e1c4e1c503c4e1c503c4e1c503c,4e1c503c,4e1c503c,4e1c503c,503c4e1c,4e1f503c,4e1f503c,4e1f503c,4e1f503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
573,573,0,3ffc03fffffffa04e20503c4e20503c4e20503c4e20503c503c4e1d4e1d503c4e1d503c4e1d503c,4e1d503c,4e1d503c,4e1d503c,503c4e1d,4e20503c,4e20503c,4e20503c,4e20503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
574,574,0,3ffc03ffffffeb04e21503c4e21503c4e21503c4e21503c503c4e1e4e1e503c4e1e503c4e1e503c,4e1e503c,4e1e503c,4e1e503c,503c4e1e,4e21503c,4e21503c,4e21503c,4e21503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
575,575,0,3ffc03ffffffeb04e22503c4e22503c4e22503c4e22503c503c4e1f4e1f503c4e1f503c4e1f503c,4e1f503c,4e1f503c,4e1f503c,503c4e1f,4e22503c,4e22503c,4e22503c,4e22503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
576,576,0,3ffc03ffffffea04e23503c4e23503c4e23503c4e23503c503c4e204e20503c4e20503c4e20503c,4e20503c,4e20503c,4e20503c,503c4e20,4e23503c,4e23503c,4e23503c,4e23503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
577,577,0,3ffc03fffffffa04e24503c4e24503c4e24503c4e24503c503c4e214e21503c4e21503c4e21503c,4e21503c,4e21503c,4e21503c,503c4e21,4e24503c,4e24503c,4e24503c,4e24503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
578,578,0,3ffc03fffffffa04e25503c4e25503c4e25503c4e25503c503c4e224e22503c4e22503c4e22503c,4e22503c,4e22503c,4e22503c,503c4e22,4e25503c,4e25503c,4e25503c,4e25503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
579,579,0,3ffc03ffffffeb04e26503c4e26503c4e26503c4e26503c503c4e234e23503c4e23503c4e23503c,4e23503c,4e23503c,4e23503c,503c4e23,4e26503c,4e26503c,4e26503c,4e26503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
580,580,0,3ffc03ffffffeb04e27503c4e27503c4e27503c4e27503c503c4e244e24503c4e24503c4e24503c,4e24503c,4e24503c,4e24503c,503c4e24,4e27503c,4e27503c,4e27503c,4e27503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
581,581,0,3ffc03ffffffea04e28503c4e28503c4e28503c4e28503c503c4e254e25503c4e25503c4e25503c,4e25503c,4e25503c,4e25503c,503c4e25,4e28503c,4e28503c,4e28503c,4e28503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
582,582,0,3ffc03fffffffa04e29503c4e29503c4e29503c4e29503c503c4e264e26503c4e26503c4e26503c,4e26503c,4e26503c,4e26503c,503c4e26,4e29503c,4e29503c,4e29503c,4e29503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
583,583,0,3ffc03fffffffa04e2a503c4e2a503c4e2a503c4e2a503c503c4e274e27503c4e27503c4e27503c,4e27503c,4e27503c,4e27503c,503c4e27,4e2a503c,4e2a503c,4e2a503c,4e2a503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
584,584,0,3ffc03ffffffeb04e2b503c4e2b503c4e2b503c4e2b503c503c4e284e28503c4e28503c4e28503c,4e28503c,4e28503c,4e28503c,503c4e28,4e2b503c,4e2b503c,4e2b503c,4e2b503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
585,585,0,3ffc03ffffffeb04e2c503c4e2c503c4e2c503c4e2c503c503c4e294e29503c4e29503c4e29503c,4e29503c,4e29503c,4e29503c,503c4e29,4e2c503c,4e2c503c,4e2c503c,4e2c503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
586,586,0,3ffc03ffffffea04e2d503c4e2d503c4e2d503c4e2d503c503c4e2a4e2a503c4e2a503c4e2a503c,4e2a503c,4e2a503c,4e2a503c,503c4e2a,4e2d503c,4e2d503c,4e2d503c,4e2d503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
587,587,0,3ffc03fffffffa04e2e503c4e2e503c4e2e503c4e2e503c503c4e2b4e2b503c4e2b503c4e2b503c,4e2b503c,4e2b503c,4e2b503c,503c4e2b,4e2e503c,4e2e503c,4e2e503c,4e2e503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
588,588,0,3ffc03fffffffa04e2f503c4e2f503c4e2f503c4e2f503c503c4e2c4e2c503c4e2c503c4e2c503c,4e2c503c,4e2c503c,4e2c503c,503c4e2c,4e2f503c,4e2f503c,4e2f503c,4e2f503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
589,589,0,3ffc03ffffffeb04e30503c4e30503c4e30503c4e30503c503c4e2d4e2d503c4e2d503c4e2d503c,4e2d503c,4e2d503c,4e2d503c,503c4e2d,4e30503c,4e30503c,4e30503c,4e30503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
590,590,0,3ffc03ffffffeb04e31503c4e31503c4e31503c4e31503c503c4e2e4e2e503c4e2e503c4e2e503c,4e2e503c,4e2e503c,4e2e503c,503c4e2e,4e31503c,4e31503c,4e31503c,4e31503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
591,591,0,3ffc03ffffffea04e32503c4e32503c4e32503c4e32503c503c4e2f4e2f503c4e2f503c4e2f503c,4e2f503c,4e2f503c,4e2f503c,503c4e2f,4e32503c,4e32503c,4e32503c,4e32503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
592,592,0,3ffc03fffffffa04e33503c4e33503c4e33503c4e33503c503c4e304e30503c4e30503c4e30503c,4e30503c,4e30503c,4e30503c,503c4e30,4e33503c,4e33503c,4e33503c,4e33503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
593,593,0,3ffc03fffffffa04e34503c4e34503c4e34503c4e34503c503c4e314e31503c4e31503c4e31503c,4e31503c,4e31503c,4e31503c,503c4e31,4e34503c,4e34503c,4e34503c,4e34503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
594,594,0,3ffc03ffffffeb04e35503c4e35503c4e35503c4e35503c503c4e324e32503c4e32503c4e32503c,4e32503c,4e32503c,4e32503c,503c4e32,4e35503c,4e35503c,4e35503c,4e35503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
595,595,0,3ffc03ffffffeb04e36503c4e36503c4e36503c4e36503c503c4e334e33503c4e33503c4e33503c,4e33503c,4e33503c,4e33503c,503c4e33,4e36503c,4e36503c,4e36503c,4e36503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
596,596,0,3ffc03ffffffea04e37503c4e37503c4e37503c4e37503c503c4e344e34503c4e34503c4e34503c,4e34503c,4e34503c,4e34503c,503c4e34,4e37503c,4e37503c,4e37503c,4e37503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
597,597,0,3ffc03fffffffa04e38503c4e38503c4e38503c4e38503c503c4e354e35503c4e35503c4e35503c,4e35503c,4e35503c,4e35503c,503c4e35,4e38503c,4e38503c,4e38503c,4e38503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
598,598,0,3ffc03fffffffa04e39503c4e39503c4e39503c4e39503c503c4e364e36503c4e36503c4e36503c,4e36503c,4e36503c,4e36503c,503c4e36,4e39503c,4e39503c,4e39503c,4e39503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
599,599,0,3ffc03ffffffeb04e3a503c4e3a503c4e3a503c4e3a503c503c4e374e37503c4e37503c4e37503c,4e37503c,4e37503c,4e37503c,503c4e37,4e3a503c,4e3a503c,4e3a503c,4e3a503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
600,600,0,3ffc03ffffffeb04e3b503c4e3b503c4e3b503c4e3b503c503c4e384e38503c4e38503c4e38503c,4e38503c,4e38503c,4e38503c,503c4e38,4e3b503c,4e3b503c,4e3b503c,4e3b503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
601,601,0,3ffc03ffffffea04e3c503c4e3c503c4e3c503c4e3c503c503c4e394e39503c4e39503c4e39503c,4e39503c,4e39503c,4e39503c,503c4e39,4e3c503c,4e3c503c,4e3c503c,4e3c503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
602,602,0,3ffc03fffffffa04e3d503c4e3d503c4e3d503c4e3d503c503c4e3a4e3a503c4e3a503c4e3a503c,4e3a503c,4e3a503c,4e3a503c,503c4e3a,4e3d503c,4e3d503c,4e3d503c,4e3d503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
603,603,0,3ffc03fffffffa04e3e503c4e3e503c4e3e503c4e3e503c503c4e3b4e3b503c4e3b503c4e3b503c,4e3b503c,4e3b503c,4e3b503c,503c4e3b,4e3e503c,4e3e503c,4e3e503c,4e3e503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
604,604,0,3ffc03ffffffeb04e3f503c4e3f503c4e3f503c4e3f503c503c4e3c4e3c503c4e3c503c4e3c503c,4e3c503c,4e3c503c,4e3c503c,503c4e3c,4e3f503c,4e3f503c,4e3f503c,4e3f503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
605,605,0,3ffc03ffffffeb04e40503c4e40503c4e40503c4e40503c503c4e3d4e3d503c4e3d503c4e3d503c,4e3d503c,4e3d503c,4e3d503c,503c4e3d,4e40503c,4e40503c,4e40503c,4e40503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
606,606,0,3ffc03ffffffea04e41503c4e41503c4e41503c4e41503c503c4e3e4e3e503c4e3e503c4e3e503c,4e3e503c,4e3e503c,4e3e503c,503c4e3e,4e41503c,4e41503c,4e41503c,4e41503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
607,607,0,3ffc03fffffffa04e42503c4e42503c4e42503c4e42503c503c4e3f4e3f503c4e3f503c4e3f503c,4e3f503c,4e3f503c,4e3f503c,503c4e3f,4e42503c,4e42503c,4e42503c,4e42503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
608,608,0,3ffc03fffffffa04e43503c4e43503c4e43503c4e43503c503c4e404e40503c4e40503c4e40503c,4e40503c,4e40503c,4e40503c,503c4e40,4e43503c,4e43503c,4e43503c,4e43503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
609,609,0,3ffc03ffffffeb04e44503c4e44503c4e44503c4e44503c503c4e414e41503c4e41503c4e41503c,4e41503c,4e41503c,4e41503c,503c4e41,4e44503c,4e44503c,4e44503c,4e44503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
610,610,0,3ffc03ffffffeb04e45503c4e45503c4e45503c4e45503c503c4e424e42503c4e42503c4e42503c,4e42503c,4e42503c,4e42503c,503c4e42,4e45503c,4e45503c,4e45503c,4e45503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
611,611,0,3ffc03ffffffea04e46503c4e46503c4e46503c4e46503c503c4e434e43503c4e43503c4e43503c,4e43503c,4e43503c,4e43503c,503c4e43,4e46503c,4e46503c,4e46503c,4e46503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
612,612,0,3ffc03fffffffa04e47503c4e47503c4e47503c4e47503c503c4e444e44503c4e44503c4e44503c,4e44503c,4e44503c,4e44503c,503c4e44,4e47503c,4e47503c,4e47503c,4e47503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
613,613,0,3ffc03fffffffa04e48503c4e48503c4e48503c4e48503c503c4e454e45503c4e45503c4e45503c,4e45503c,4e45503c,4e45503c,503c4e45,4e48503c,4e48503c,4e48503c,4e48503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
614,614,0,3ffc03ffffffeb04e49503c4e49503c4e49503c4e49503c503c4e464e46503c4e46503c4e46503c,4e46503c,4e46503c,4e46503c,503c4e46,4e49503c,4e49503c,4e49503c,4e49503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
615,615,0,3ffc03ffffffeb04e4a503c4e4a503c4e4a503c4e4a503c503c4e474e47503c4e47503c4e47503c,4e47503c,4e47503c,4e47503c,503c4e47,4e4a503c,4e4a503c,4e4a503c,4e4a503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
616,616,0,3ffc03ffffffea04e4b503c4e4b503c4e4b503c4e4b503c503c4e484e48503c4e48503c4e48503c,4e48503c,4e48503c,4e48503c,503c4e48,4e4b503c,4e4b503c,4e4b503c,4e4b503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
617,617,0,3ffc03fffffffa04e4c503c4e4c503c4e4c503c4e4c503c503c4e494e49503c4e49503c4e49503c,4e49503c,4e49503c,4e49503c,503c4e49,4e4c503c,4e4c503c,4e4c503c,4e4c503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
618,618,0,3ffc03fffffffa04e4d503c4e4d503c4e4d503c4e4d503c503c4e4a4e4a503c4e4a503c4e4a503c,4e4a503c,4e4a503c,4e4a503c,503c4e4a,4e4d503c,4e4d503c,4e4d503c,4e4d503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
