Sample in Buffer,Sample in Window,TRIGGER,ila_data[265:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
195,195,0,2a0bdc9f553bdc9f553bdc9f553bdc9f553bdc9f550bdc9f550bdc9f550bdc9f550,bdc9f550,bdc9f550,bdc9f550,bdc9f550,bdc9f553,bdc9f553,bdc9f553,bdc9f553,0,0,1,0,1,0,1
196,196,0,2a0bdc9f554bdc9f554bdc9f554bdc9f554bdc9f551bdc9f551bdc9f551bdc9f551,bdc9f551,bdc9f551,bdc9f551,bdc9f551,bdc9f554,bdc9f554,bdc9f554,bdc9f554,0,0,1,0,1,0,1
197,197,0,3b0bdc9f555bdc9f555bdc9f555bdc9f555bdc9f552bdc9f552bdc9f552bdc9f552,bdc9f552,bdc9f552,bdc9f552,bdc9f552,bdc9f555,bdc9f555,bdc9f555,bdc9f555,0,1,1,0,1,1,1
198,198,0,3b0bdc9f556bdc9f556bdc9f556bdc9f556bdc9f553bdc9f553bdc9f553bdc9f553,bdc9f553,bdc9f553,bdc9f553,bdc9f553,bdc9f556,bdc9f556,bdc9f556,bdc9f556,0,1,1,0,1,1,1
199,199,0,3b0bdc9f557bdc9f557bdc9f557bdc9f557bdc9f554bdc9f554bdc9f554bdc9f554,bdc9f554,bdc9f554,bdc9f554,bdc9f554,bdc9f557,bdc9f557,bdc9f557,bdc9f557,0,1,1,0,1,1,1
200,200,0,2a0bdc9f558bdc9f558bdc9f558bdc9f558bdc9f555bdc9f555bdc9f555bdc9f555,bdc9f555,bdc9f555,bdc9f555,bdc9f555,bdc9f558,bdc9f558,bdc9f558,bdc9f558,0,0,1,0,1,0,1
201,201,0,2a0bdc9f559bdc9f559bdc9f559bdc9f559bdc9f556bdc9f556bdc9f556bdc9f556,bdc9f556,bdc9f556,bdc9f556,bdc9f556,bdc9f559,bdc9f559,bdc9f559,bdc9f559,0,0,1,0,1,0,1
202,202,0,3b0bdc9f55abdc9f55abdc9f55abdc9f55abdc9f557bdc9f557bdc9f557bdc9f557,bdc9f557,bdc9f557,bdc9f557,bdc9f557,bdc9f55a,bdc9f55a,bdc9f55a,bdc9f55a,0,1,1,0,1,1,1
203,203,0,3b0bdc9f55bbdc9f55bbdc9f55bbdc9f55bbdc9f558bdc9f558bdc9f558bdc9f558,bdc9f558,bdc9f558,bdc9f558,bdc9f558,bdc9f55b,bdc9f55b,bdc9f55b,bdc9f55b,0,1,1,0,1,1,1
204,204,0,3b0bdc9f55cbdc9f55cbdc9f55cbdc9f55cbdc9f559bdc9f559bdc9f559bdc9f559,bdc9f559,bdc9f559,bdc9f559,bdc9f559,bdc9f55c,bdc9f55c,bdc9f55c,bdc9f55c,0,1,1,0,1,1,1
