Sample in Buffer,Sample in Window,TRIGGER,ila_data[617:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
203,203,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582fabbfd3533f29c3531eb9d35336b953531bb98dfea6d98dfea6d98dfea6d98dfea6d9,8dfea6d9,8dfea6d9,8dfea6d9,8dfea6d9,53531bb9,d35336b9,c3531eb9,d3533f29,f,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
204,204,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582ea2bfa55fff89a55fff89a55fff89a55fff8950ad47a750ad47a750ad47a750ad47a7,50ad47a7,50ad47a7,50ad47a7,50ad47a7,a55fff89,a55fff89,a55fff89,a55fff89,f,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
205,205,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582e22af2b5f5fc32b5f5fc32b5f5fc32b5f5fc31b0cdaee1b0cdaee1b0cdaee1b0cdaee,1b0cdaee,1b0cdaee,1b0cdaee,1b0cdaee,2b5f5fc3,2b5f5fc3,2b5f5fc3,2b5f5fc3,f,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
206,206,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582e3bafd5310542d5310542d5310542d53105424a2dac034a2dac034a2dac034a2dac03,4a2dac03,4a2dac03,4a2dac03,4a2dac03,d5310542,d5310542,d5310542,d5310542,f,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
207,207,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582fbbbfcd1ea3f0cd1ea3f0cd1ea3f0cd1ea3f0fffe216dfffe216dfffe216dfffe216d,fffe216d,fffe216d,fffe216d,fffe216d,cd1ea3f0,cd1ea3f0,cd1ea3f0,cd1ea3f0,f,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
208,208,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582fabbfd2898506c289a586d28b8584d28ba5866db7063a6db7063a6db7063a6db7063a,6db7063a,6db7063a,6db7063a,6db7063a,d28ba586,d28b8584,c289a586,d2898506,f,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
209,209,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582ea2bf49aed31e49aed31e49aed31e49aed31e216d4478216d4478216d4478216d4478,216d4478,216d4478,216d4478,216d4478,49aed31e,49aed31e,49aed31e,49aed31e,f,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
210,210,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582e22aff1042a6df1042a6df1042a6df1042a6dd6811b3fd6811b3fd6811b3fd6811b3f,d6811b3f,d6811b3f,d6811b3f,d6811b3f,f1042a6d,f1042a6d,f1042a6d,f1042a6d,f,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
211,211,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582e3baf686353ba686353ba686353ba686353ba05fe1d3705fe1d3705fe1d3705fe1d37,05fe1d37,05fe1d37,05fe1d37,05fe1d37,686353ba,686353ba,686353ba,686353ba,f,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
212,212,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582fbbbf3bdfffb53bdfffb53bdfffb53bdfffb545a5115545a5115545a5115545a51155,45a51155,45a51155,45a51155,45a51155,3bdfffb5,3bdfffb5,3bdfffb5,3bdfffb5,f,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
213,213,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582fabbf610dffb5710ddfb5610dffb7710ddfb5ef97f990ef97f990ef97f990ef97f990,ef97f990,ef97f990,ef97f990,ef97f990,710ddfb5,610dffb7,710ddfb5,610dffb5,f,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
214,214,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582ea2bf01e72dde01e72dde01e72dde01e72dde37dd14a837dd14a837dd14a837dd14a8,37dd14a8,37dd14a8,37dd14a8,37dd14a8,01e72dde,01e72dde,01e72dde,01e72dde,f,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
215,215,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582e22af9dec031f9dec031f9dec031f9dec031f69a4860a69a4860a69a4860a69a4860a,69a4860a,69a4860a,69a4860a,69a4860a,9dec031f,9dec031f,9dec031f,9dec031f,f,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
216,216,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582e3baf96b52dbd96b52dbd96b52dbd96b52dbd0821afe30821afe30821afe30821afe3,0821afe3,0821afe3,0821afe3,0821afe3,96b52dbd,96b52dbd,96b52dbd,96b52dbd,f,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
217,217,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582fbbbf18a7712818a7712818a7712818a77128f49aeca0f49aeca0f49aeca0f49aeca0,f49aeca0,f49aeca0,f49aeca0,f49aeca0,18a77128,18a77128,18a77128,18a77128,f,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
