Sample in Buffer,Sample in Window,TRIGGER,receiver_0[31:0],ila_data[255:0],userdata_rx_0[31:0],receiver_1[31:0],userdata_rx_1[31:0],receiver_2[31:0],userdata_rx_2[31:0],receiver_3[31:0],userdata_rx_3[31:0],transmitter_0[31:0],userdata_tx_0[31:0],transmitter_1[31:0],userdata_tx_1[31:0],transmitter_2[31:0],userdata_tx_2[31:0],userdata_tx_3[31:0],transmitter_3[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
419,419,0,fbe7503c,ff2dcace503ccace503c0416503cfbe92d7ea2527ea2503c0418503cfbe7503c,fbe7503c,0418503c,0418503c,7ea2503c,7ea2503c,2d7ea252,2d7ea252,503cfbe9,503cfbe9,503c0416,503c0416,503ccace,503ccace,ff2dcace,ff2dcace
420,420,0,fbe8503c,b2b15ad2503c5ad2503c0415503cfbea8b825fe3825f503c0417503cfbe8503c,fbe8503c,0417503c,0417503c,825f503c,825f503c,8b825fe3,8b825fe3,503cfbea,503cfbea,503c0415,503c0415,503c5ad2,503c5ad2,b2b15ad2,b2b15ad2
421,421,0,fbe9503c,447d9348503c9348503c0414503cfbeb259922389922503c0416503cfbe9503c,fbe9503c,0416503c,0416503c,9922503c,9922503c,25992238,25992238,503cfbeb,503cfbeb,503c0414,503c0414,503c9348,503c9348,447d9348,447d9348
422,422,0,fbea503c,31354327503c4327503c0413503cfbecc7e353ffe353503c0415503cfbea503c,fbea503c,0415503c,0415503c,e353503c,e353503c,c7e353ff,c7e353ff,503cfbec,503cfbec,503c0413,503c0413,503c4327,503c4327,31354327,31354327
423,423,0,fbeb503c,49749e6e503c9e6e503c0412503cfbed91fbaee0fbae503c0414503cfbeb503c,fbeb503c,0414503c,0414503c,fbae503c,fbae503c,91fbaee0,91fbaee0,503cfbed,503cfbed,503c0412,503c0412,503c9e6e,503c9e6e,49749e6e,49749e6e
424,424,0,fbec503c,f929bc24503cbc24503c0411503cfbee734349a74349503c0413503cfbec503c,fbec503c,0413503c,0413503c,4349503c,4349503c,734349a7,734349a7,503cfbee,503cfbee,503c0411,503c0411,503cbc24,503cbc24,f929bc24,f929bc24
425,425,0,fbed503c,f9933c04503c3c04503c0410503cfbef5954a00954a0503c0412503cfbed503c,fbed503c,0412503c,0412503c,54a0503c,54a0503c,5954a009,5954a009,503cfbef,503cfbef,503c0410,503c0410,503c3c04,503c3c04,f9933c04,f9933c04
426,426,0,fbee503c,93e056fe503c56fe503c040f503cfbf098e6f62ee6f6503c0411503cfbee503c,fbee503c,0411503c,0411503c,e6f6503c,e6f6503c,98e6f62e,98e6f62e,503cfbf0,503cfbf0,503c040f,503c040f,503c56fe,503c56fe,93e056fe,93e056fe
427,427,0,fbef503c,97c066f4503c66f4503c040e503cfbf137aa5319aa53503c0410503cfbef503c,fbef503c,0410503c,0410503c,aa53503c,aa53503c,37aa5319,37aa5319,503cfbf1,503cfbf1,503c040e,503c040e,503c66f4,503c66f4,97c066f4,97c066f4
428,428,0,fbf0503c,288a31dc503c31dc503c040d503cfbf2fb76245e7624503c040f503cfbf0503c,fbf0503c,040f503c,040f503c,7624503c,7624503c,fb76245e,fb76245e,503cfbf2,503cfbf2,503c040d,503c040d,503c31dc,503c31dc,288a31dc,288a31dc
