Sample in Buffer,Sample in Window,TRIGGER,ila_data[617:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
49,49,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f7b100bf77b100bf77b100bf77b100bf7b756cf4937aab5d7fb25f43ff756eec9
50,50,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f3318ccfe7318ccfe7318ccfe7318ccfe419e97031f2613883b295d0e419e9703
51,51,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f01cef27c01cef27c01cef27c01cef27cca973c66bd7e4eef361d120aca973c66
52,52,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f86fa58eb86fa58eb86fa58eb86fa58ebc3287ac953d5bdd762594537c3287ac9
53,53,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f0f9473a30f9473a30f9473a30f9473a3aa6592b2f584508bf06b6f8daa6592b2
54,54,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f533cea98533cea98533cea98533cea98c63ef5e0e363e91d26c76b51823ef560
55,55,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f3690ec6c3490ec6c3490ec6c3490ec6c9d2665f6051116ca88beab5b9d2665f6
56,56,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f6635e81c6635e81c6635e81c6635e81c2cdc72c194dc8b1f5b5c01b32cdc72c1
57,57,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f451f9f67451f9f67451f9f67451f9f67178f223e12b751b545409cc3178f223e
58,58,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f3c9b29da3c9b29da3c9b29da3c9b29da79a8ec1ed6626a9054b1073179a8ec1e
59,59,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fe2b8bd59e2b8bd59e2b8bd59e2b8bd5998335122998571827a4722ec983770a2
60,60,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f445efb15445efb15445efb15445efb1547502eacecc74bdd6822ea4347502eac
61,61,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fa22eccc0a22eccc0a22eccc0a22eccc0d49a459214431618e8fb796fd49a4592
62,62,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fb897a460b897a460b897a460b897a46078d01cd5b971f97b441af05878d01cd5
63,63,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fce7a3fd2ce7a3fd2ce7a3fd2ce7a3fd2e39ddfbb529692d39008cdd9e39ddfbb
64,64,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fb014c62bb014c62bb014c62bb014c62bb610aef9a634b6d66e94e3fcb614aff9
65,65,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f66089be164089be164089be164089be1b04c60b08eb11d396cdd09acb04c60b0
66,66,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f1520ccd51520ccd51520ccd51520ccd53f92ba33ff3d2e5233cf89453f92ba33
67,67,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fd3d74a6bd3d74a6bd3d74a6bd3d74a6b890fe400f39278e2c3e8f3bf890fe400
68,68,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fc80506d9c80506d9c80506d9c80506d9839e03a47603898746091e17839e03a4
69,69,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f764ad607764ad607764ad607764ad607ec757febde13ffd3e22637f4ac757feb
70,70,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fce5b94168e5b94168e5b94168e5b9416ba5297ebf5e61264e9739d74ba5297eb
71,71,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f2a4628de2a4628de2a4628de2a4628de6236301cae588e06c8c784f06236301c
72,72,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f5aad30ca5aad30ca5aad30ca5aad30cac75a4d3f8167976d20277db3c75a4d3f
73,73,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fdea6e659dea6e659dea6e659dea6e6596c1fd8010724d557bf31ee7f6c1fd801
74,74,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fb467bbafb467bbafb467bbafb467bbaf3fa60f5897eb032b83d0d8363fa20e58
75,75,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fe4e07210e4e07210e4e07210e4e0721098cf16a446b734314a1485c798cf16a4
76,76,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fcadade5bcadade5bcadade5bcadade5b7273b52ec3765e6f61e11e3a7273b52e
77,77,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fae0a1816ae0a1816ae0a1816ae0a1816a46c9270a34f3c8fa78f7fe0a46c9270
78,78,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000ff84ba792f84ba792f84ba792f84ba792b8d4ec8d2b3022b33818c771b8d4ec8d
79,79,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f4c5922174c5922174c5922174c592217f65bed62cf0c23502eb5f608b65fec62
80,80,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fa4332e2ba4332e2ba4332e2ba4332e2b2b6a13be6598c091d8fc571b2b6a13be
81,81,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fd0fe96d9d0fe96d9d0fe96d9d0fe96d93c28c2f76af07481d22912ab3c28c2f7
82,82,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f7ba05c977ba05c977ba05c977ba05c9786eac59634bdcd7ce4e4316d86eac596
83,83,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f17118bde17118bde17118bde17118bde769d2457ef2187a453d8bf91769d2457
84,84,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000ff7eeccd9f7eeccd9f7eeccd9f7eeccd97f55dc4ade89fa2f01820d8e3f51fd4a
85,85,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fd327cefbd127cefbd127cefbd127cefb8870af4f0ec66cfe7340a2ac8870af4f
86,86,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f5850bc5c5850bc5c5850bc5c5850bc5c20372dfc388196dc0de71bde20372dfc
87,87,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f7df505577df505577df505577df505572c38d30c23f05395fb201b492c38d30c
88,88,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fa85827fba85827fba85827fba85827fb4df3dc65dfe4dca0edd92c0b4df3dc65
89,89,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f7301c9a57301c9a57301c9a57301c9a55b6b2128d6d3c746e1d8dce91b6b0028
90,90,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f695244732952447329524c7329524473ce430c106eac6a8ef43a4936ce430c10
91,91,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f0715543a0715543a0715543a0715543a3d0bf5c521d25f8572aaba413d0bf5c5
92,92,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f32fcea0a32fcea0a32fcea0a32fcea0acc684e4b07d5d865750d5c3ecc684e4b
93,93,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fe063474fe063474fe063474fe063474fb43ecb8f7890646caea37680b43ecb8f
94,94,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f92d7f49492d7f49492d7f49492d7f494d5e8b6b4c1b1a41479112f5ed1e8b734
95,95,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000ff9785012f9785012f9785012f97850129ad3f1ef2fada901db3b38169ad3f1ef
96,96,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f74d2d55874d2d55874d2d55874d2d558325e14188a03a3b9c5f514b2325e1418
97,97,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f5b50952c5b50952c5b50952c5b50952c8838b559d52be844d3602e068838b559
98,98,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f234613512346135123461351234613512a17e94c2e12614eb85575cd2a17e94c
99,99,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f51b42e8e51b42e8e51b42e8e51b42e8e88849cdb9dc204d2c213b9cf88809ddb
100,100,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f60c6e0e120c6e0e120c6e0e120c6e0e1aee6a420b4a678abf262c7adaee6a420
101,101,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f034fd89e034fd89e034fd89e034fd89ea033def671adfda795e52d6ba033def6
102,102,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f28905e1e28905e1e28905e1e28905e1e01bae14aa9bd8cf41f39214e01bae14a
103,103,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f97e9bab097e9bab097e9bab097e9bab0aec76450b4eca33982703b92aec76450
104,104,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f8e1daf498e1daf498e1daf498e1daf49a92c030c42807705f7916f4be9212308
105,105,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f383a8ffe383a8ffe383a8ffe383a8ffe19df7081f20139c4028db0b719df7081
106,106,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f90a6d58f90a6d58f90a6d58f90a6d58f4a6b903867d28e47de6c8ee04a6b9038
107,107,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f21c9a14a21c9a14a21c9a14a21c9a14ac1d91a8f8df3bd49930ee310c1d91a8f
108,108,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fbcd98310bcd98310bcd98310bcd983107c30c5f5b1ab16cd6624915a7c30c5f5
109,109,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f731d803a731d803a731d803a731d803ac7ae5d64f37e9114c3160428c6a75e60
110,110,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fb6b1cd6fb6b1cd6fb6b1cd6fb6b1cd6f5c2edf0e950201d9542a7d885c2edf0e
111,111,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f2e854bac2e854bac2e854bac2e854bac2389aca8ad4422f07c03b3612389aca8
112,112,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f36847427368474273684742736847427e2dfc53274db177550bde135e2dfc532
113,113,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f561cf925561cf925561cf925561cf9259aa0c10f2f54e1da3b0593689aa0c10f
114,114,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fa139aff9a139aff9a139aff9a139aff9ea60ce536a74681130019410aa60ec56
