Sample in Buffer,Sample in Window,TRIGGER,ila_data[617:0],receiver_0[31:0],userdata_rx_0[31:0],receiver_1[31:0],userdata_rx_1[31:0],userdata_rx_2[31:0],receiver_2[31:0],userdata_rx_3[31:0],receiver_3[31:0],userdata_tx_0[31:0],transmitter_0[31:0],userdata_tx_1[31:0],transmitter_1[31:0],userdata_tx_2[31:0],transmitter_2[31:0],transmitter_3[31:0],userdata_tx_3[31:0],prbs_match_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
594,594,0,2b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f39c0899c39c0899c39c0899c39c0899ccd8de27f96203c92cd8de27f96203c92,96203c92,96203c92,cd8de27f,cd8de27f,96203c92,96203c92,cd8de27f,cd8de27f,39c0899c,39c0899c,39c0899c,39c0899c,39c0899c,39c0899c,39c0899c,39c0899c,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
595,595,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f37458cde37458cde37458cde37458cde7dd3a2fa4de43dbc7dd3a2fa4de43dbc,4de43dbc,4de43dbc,7dd3a2fa,7dd3a2fa,4de43dbc,4de43dbc,7dd3a2fa,7dd3a2fa,37458cde,37458cde,37458cde,37458cde,37458cde,37458cde,37458cde,37458cde,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
596,596,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f15e1db2e15e1db2e15e1db2e15e1db2ec44938f07861b938c44938f07861b938,7861b938,7861b938,c44938f0,c44938f0,7861b938,7861b938,c44938f0,c44938f0,15e1db2e,15e1db2e,15e1db2e,15e1db2e,15e1db2e,15e1db2e,15e1db2e,15e1db2e,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
597,597,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f71bb11fe71bb11fe71bb11fe71bb11fee6a446cfcbcea6b6e6a446cfcbcea6b6,cbcea6b6,cbcea6b6,e6a446cf,e6a446cf,cbcea6b6,cbcea6b6,e6a446cf,e6a446cf,71bb11fe,71bb11fe,71bb11fe,71bb11fe,71bb11fe,71bb11fe,71bb11fe,71bb11fe,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
598,598,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f7080e6c57080e6c57080e6c57080e6c5cddec34dd6987596cddac34dd29c7596,d29c7596,d29c7596,cddac34d,cddac34d,d6987596,d6987596,cddec34d,cddec34d,7080e6c5,7080e6c5,7080e6c5,7080e6c5,7080e6c5,7080e6c5,7080e6c5,7080e6c5,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
599,599,0,2b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f5e38fde85e38fde85e38fde85e38fde87bf7acc5bfed06a07bf7acc5bfed06a0,bfed06a0,bfed06a0,7bf7acc5,7bf7acc5,bfed06a0,bfed06a0,7bf7acc5,7bf7acc5,5e38fde8,5e38fde8,5e38fde8,5e38fde8,5e38fde8,5e38fde8,5e38fde8,5e38fde8,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
600,600,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f2fa1c9d72fa1c9d72fa1c9d72fa1c9d7fb3f5b0241b7be3cfb3f5b0241b7be3c,41b7be3c,41b7be3c,fb3f5b02,fb3f5b02,41b7be3c,41b7be3c,fb3f5b02,fb3f5b02,2fa1c9d7,2fa1c9d7,2fa1c9d7,2fa1c9d7,2fa1c9d7,2fa1c9d7,2fa1c9d7,2fa1c9d7,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
601,601,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f8c0559bf8c0559bf8c0559bf8c0559bf5cd7676a068113435cd7676a06811343,06811343,06811343,5cd7676a,5cd7676a,06811343,06811343,5cd7676a,5cd7676a,8c0559bf,8c0559bf,8c0559bf,8c0559bf,8c0559bf,8c0559bf,8c0559bf,8c0559bf,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
602,602,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fc54efc1dc54efc1dc54efc1dc54efc1dd7fa12a4c92e1986d7fa12a4c92e1986,c92e1986,c92e1986,d7fa12a4,d7fa12a4,c92e1986,c92e1986,d7fa12a4,d7fa12a4,c54efc1d,c54efc1d,c54efc1d,c54efc1d,c54efc1d,c54efc1d,c54efc1d,c54efc1d,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
603,603,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f277dfe53277dfe53277dfe53277dfe53154d536a88c8c2421555536a88c8c342,88c8c342,88c8c342,1555536a,1555536a,88c8c242,88c8c242,154d536a,154d536a,277dfe53,277dfe53,277dfe53,277dfe53,277dfe53,277dfe53,277dfe53,277dfe53,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
