Sample in Buffer,Sample in Window,TRIGGER,ila_data[821:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],tx8b10ben_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0],rxchanisaligned_int[3:0],rxchanrealign_int[3:0],rxchanbondseq_int[3:0],rxchbondi_int[19:0],rxchbondo_int[19:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
791,791,0,000000000000092fcd2fcd2fcd2fcc0472ddb0c00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffbfa677431ba677431be6774b1b26750bfa689e2860689e2860689e2860689e2860,689e2860,689e2860,689e2860,689e2860,26750bfa,e6774b1b,a677431b,a677431b,f,1,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76c30,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
792,792,0,000000000000092fcd2fcd2fcd2fcc0472ddb0e00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeafa99dd2c6a99dd2c6a99dd2c6a99dd2c69a278a189a278a189a278a189a278a18,9a278a18,9a278a18,9a278a18,9a278a18,a99dd2c6,a99dd2c6,a99dd2c6,a99dd2c6,f,0,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76c38,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
793,793,0,000000000000092fcd2fcd2fcd2fcc0472ddb1000000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeafaa6774b1aa6774b1aa6774b1aa6774b1e689e286e689e286e689e286e689e286,e689e286,e689e286,e689e286,e689e286,aa6774b1,aa6774b1,aa6774b1,aa6774b1,f,0,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76c40,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
794,794,0,000000000000092fcd2fcd2fcd2fcc0472ddb1200000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebfea99dd2cea99dd2cea99dd2cea99dd2cb9a278a1b9a278a1b9a278a1b9a278a1,b9a278a1,b9a278a1,b9a278a1,b9a278a1,ea99dd2c,ea99dd2c,ea99dd2c,ea99dd2c,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76c48,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
795,795,0,000000000000092fcd2fcd2fcd2fcc0472ddb1400000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffbffaa6774bfaa6774bfaa6774bfaa6774b6081fd536081fd536081fd536081fd53,6081fd53,6081fd53,6081fd53,6081fd53,faa6774b,faa6774b,faa6774b,faa6774b,f,1,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76c50,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
796,796,0,000000000000092fcd2fcd2fcd2fcc0472ddb15c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffbfc6b6bc48cef6be48c6f6b648e6f496da18207f5418207f5418207f5418207f54,18207f54,18207f54,18207f54,18207f54,e6f496da,c6f6b648,cef6be48,c6b6bc48,f,1,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76c57,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
797,797,0,000000000000092fcd2fcd2fcd2fcc0472ddb17c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeafb1bdad92b1bdad92b1bdad92b1bdad9286081fd586081fd586081fd586081fd5,86081fd5,86081fd5,86081fd5,86081fd5,b1bdad92,b1bdad92,b1bdad92,b1bdad92,f,0,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76c5f,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
798,798,0,000000000000092fcd2fcd2fcd2fcc0472ddb19c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeaf2c6f6b642c6f6b642c6f6b642c6f6b64a18207f5a18207f5a18207f5a18207f5,a18207f5,a18207f5,a18207f5,a18207f5,2c6f6b64,2c6f6b64,2c6f6b64,2c6f6b64,f,0,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76c67,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
799,799,0,000000000000092fcd2fcd2fcd2fcc0472ddb1bc0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebf4b1bdad94b1bdad94b1bdad94b1bdad9286081fd286081fd286081fd286081fd,286081fd,286081fd,286081fd,286081fd,4b1bdad9,4b1bdad9,4b1bdad9,4b1bdad9,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76c6f,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
800,800,0,000000000000092fcd2fcd2fcd2fcc0472ddb1dc0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffbfd2c6f6b6d2c6f6b6d2c6f6b6d2c6f6b654cee96354cee96354cee96354cee963,54cee963,54cee963,54cee963,54cee963,d2c6f6b6,d2c6f6b6,d2c6f6b6,d2c6f6b6,f,1,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76c77,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
